User Id 	UBA id	GCA id
U_65402	UBA624	GCA_002300105.1
U_65407	UBA628	GCA_002299745.1
U_65408	UBA629	GCA_002300065.1
U_65411	UBA631	GCA_002299715.1
U_65415	UBA7906	GCA_003455175.1
U_65417	UBA636	GCA_002299675.1
U_65422	UBA640	GCA_002299275.1
U_65423	UBA641	GCA_002299635.1
U_65425	UBA643	GCA_002299625.1
U_65426	UBA7908	GCA_003455155.1
U_65430	UBA7910	GCA_003543495.1
U_65432	UBA7912	None
U_65440	UBA7920	GCA_003451675.1
U_65445	UBA7925	GCA_003445695.1
U_65450	UBA7930	GCA_003453535.1
U_65457	UBA7935	None
U_65463	UBA647	GCA_002299555.1
U_65464	UBA7940	None
U_65468	UBA7944	None
U_65470	UBA7945	GCA_003504925.1
U_65472	UBA7946	GCA_003504915.1
U_65487	UBA7956	GCA_003511805.1
U_65489	UBA655	GCA_002299505.1
U_65496	UBA7960	GCA_003451785.1
U_65505	UBA663	GCA_002299865.1
U_65509	UBA666	GCA_002299825.1
U_65511	UBA7968	GCA_003485545.1
U_65513	UBA668	GCA_002299395.1
U_65514	UBA669	GCA_002299795.1
U_65520	UBA7972	GCA_003500785.1
U_65521	UBA3	GCA_002499715.1
U_65528	UBA7976	None
U_65535	UBA678	GCA_002299105.1
U_65536	UBA679	GCA_002297715.1
U_65543	UBA7982	None
U_65547	UBA7986	GCA_003522645.1
U_65551	UBA7988	GCA_003522735.1
U_65555	UBA7991	None
U_65558	UBA688	GCA_002298235.1
U_65560	UBA689	GCA_002298975.1
U_65563	UBA692	GCA_002297665.1
U_65565	UBA693	GCA_002298785.1
U_65568	UBA7994	GCA_003527145.1
U_65569	UBA7995	None
U_65573	UBA697	GCA_002298965.1
U_65575	UBA699	GCA_002298915.1
U_65576	UBA7	GCA_002508465.1
U_65586	UBA8	GCA_002509665.1
U_65589	UBA7999	GCA_003526995.1
U_65590	UBA8000	None
U_65593	UBA709	GCA_002297585.1
U_65594	UBA710	GCA_002298905.1
U_65599	UBA713	GCA_002298815.1
U_65600	UBA714	GCA_002298075.1
U_65606	UBA717	GCA_002298805.1
U_65612	UBA8008	GCA_003513785.1
U_65623	UBA725	GCA_002298045.1
U_65625	UBA8010	GCA_003517285.1
U_65627	UBA727	GCA_002298025.1
U_65634	UBA8015	None
U_65647	UBA739	GCA_002297865.1
U_65650	UBA741	GCA_002298645.1
U_65652	UBA743	GCA_002297365.1
U_65656	UBA746	GCA_002298545.1
U_65658	UBA748	GCA_002298555.1
U_65660	UBA750	GCA_002298495.1
U_65664	UBA754	GCA_002297295.1
U_65666	UBA8022	GCA_003506205.1
U_65667	UBA8023	None
U_65676	UBA8025	None
U_65677	UBA762	GCA_002297805.1
U_65678	UBA763	GCA_002297685.1
U_65679	UBA764	GCA_002297195.1
U_65682	UBA767	GCA_002297185.1
U_65689	UBA770	GCA_002297775.1
U_65693	UBA774	GCA_002297165.1
U_65694	UBA775	GCA_002297145.1
U_65695	UBA776	GCA_002296805.1
U_65696	UBA777	GCA_002297085.1
U_65702	UBA8030	GCA_003516685.1
U_65707	UBA8032	GCA_003534735.1
U_65708	UBA784	GCA_002297045.1
U_65711	UBA787	GCA_002296735.1
U_65713	UBA8034	GCA_003483795.1
U_65715	UBA8035	GCA_003532675.1
U_65719	UBA792	GCA_002296965.1
U_65721	UBA794	GCA_002304735.1
U_65722	UBA8036	GCA_003482785.1
U_65733	UBA799	GCA_002296665.1
U_65734	UBA800	GCA_002296625.1
U_65753	UBA806	GCA_002296895.1
U_65754	UBA807	GCA_002296885.1
U_65755	UBA8056	GCA_003525605.1
U_65757	UBA8058	GCA_003525625.1
U_65761	UBA8062	GCA_003522535.1
U_65762	UBA8063	GCA_003523345.1
U_65767	UBA808	GCA_002296595.1
U_65769	UBA809	GCA_002296345.1
U_65780	UBA20	GCA_002502565.1
U_65782	UBA21	GCA_002497885.1
U_65783	UBA8073	None
U_65787	UBA818	GCA_002296845.1
U_65788	UBA8074	None
U_65791	UBA820	GCA_002296505.1
U_65793	UBA822	GCA_002295725.1
U_65804	UBA830	GCA_002295635.1
U_65806	UBA831	GCA_002296165.1
U_65808	UBA8077	None
U_65827	UBA844	GCA_002295535.1
U_65830	UBA847	GCA_002295945.1
U_65835	UBA26	GCA_002502285.1
U_65836	UBA852	GCA_002295925.1
U_65838	UBA28	GCA_002501605.1
U_65840	UBA854	GCA_002295885.1
U_65846	UBA8085	None
U_65849	UBA8086	GCA_003448325.1
U_65850	UBA8087	GCA_003487565.1
U_65851	UBA8088	GCA_003487445.1
U_65852	UBA8089	GCA_003447015.1
U_65853	UBA861	GCA_002295785.1
U_65855	UBA863	GCA_002295365.1
U_65857	UBA865	GCA_002295765.1
U_65859	UBA8090	GCA_003452245.1
U_65860	UBA8091	None
U_65862	UBA8092	GCA_003457335.1
U_65867	UBA8094	GCA_003452295.1
U_65873	UBA871	GCA_002295255.1
U_65874	UBA872	GCA_002295205.1
U_65876	UBA874	GCA_002294685.1
U_65877	UBA875	GCA_002294365.1
U_65878	UBA8097	GCA_003452015.1
U_65887	UBA880	GCA_002294305.1
U_65892	UBA8101	GCA_003545555.1
U_65893	UBA8102	None
U_65895	UBA8103	GCA_003545615.1
U_65899	UBA886	GCA_002294225.1
U_65910	UBA8108	GCA_003509045.1
U_65915	UBA894	GCA_002294605.1
U_65918	UBA8112	GCA_003507675.1
U_65921	UBA899	GCA_002294545.1
U_65923	UBA8113	None
U_65925	UBA8115	GCA_003508495.1
U_65926	UBA901	GCA_002294075.1
U_65933	UBA8117	GCA_003507625.1
U_65934	UBA8118	GCA_003542915.1
U_65939	UBA8119	None
U_65941	UBA8121	None
U_65942	UBA910	GCA_002294445.1
U_65945	UBA8124	GCA_003517855.1
U_65946	UBA911	GCA_002294005.1
U_65947	UBA8125	GCA_003517845.1
U_65949	UBA8126	None
U_65952	UBA915	GCA_002293905.1
U_65959	UBA922	GCA_002293825.1
U_65961	UBA924	GCA_002293725.1
U_65963	UBA926	GCA_002293685.1
U_65965	UBA928	GCA_002293665.1
U_65974	UBA933	GCA_002293545.1
U_65975	UBA8131	GCA_003509825.1
U_65978	UBA936	GCA_002293505.1
U_65982	UBA940	GCA_002293425.1
U_65983	UBA941	GCA_002293365.1
U_65995	UBA8135	None
